Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,1086.760132,1173.377808,1077.517212,1162.225586,1162.225586,16087117295
2022-06-25,1162.111816,1180.745361,1122.169922,1177.953369,1177.953369,11824509597
2022-06-26,1177.518188,1205.126831,1135.178101,1135.580688,1135.580688,11448834475
2022-06-27,1135.468384,1166.016968,1114.285645,1128.219238,1128.219238,11807151617
2022-06-28,1127.815918,1167.162476,1084.501099,1087.701660,1087.701660,13326350493
2022-06-29,1087.649536,1094.764648,1045.386841,1052.034424,1052.034424,14729507776
2022-06-30,1052.426147,1057.055176,969.118530,1018.564880,1018.564880,15604163650
2022-07-01,1019.536377,1050.778687,994.963440,1016.164307,1016.164307,16779456105
2022-07-02,1016.503601,1028.902954,991.420837,1022.632141,1022.632141,9526813164
2022-07-03,1022.588684,1039.280518,1001.051025,1029.217529,1029.217529,8202216482
2022-07-04,1029.243652,1104.969849,1004.685608,1103.307373,1103.307373,13103752468
2022-07-05,1102.780884,1117.027100,1061.513428,1106.176270,1106.176270,15790614138
2022-07-06,1106.450562,1172.190674,1087.019653,1165.454102,1165.454102,15094814482
2022-07-07,1165.441284,1226.632813,1142.021606,1217.080322,1217.080322,13994920452
2022-07-08,1217.067505,1239.656250,1182.816040,1200.095215,1200.095215,16016825470
2022-07-09,1199.899536,1206.242188,1187.207275,1194.668579,1194.668579,8659640059
2022-07-10,1194.596069,1194.596069,1135.962158,1149.167358,1149.167358,10803730244
2022-07-11,1148.909180,1151.404541,1090.038086,1092.229858,1092.229858,12009131555
2022-07-12,1092.252441,1092.252441,1034.669312,1035.055298,1035.055298,12545268357
2022-07-13,1035.050171,1109.745239,1017.538635,1109.745239,1109.745239,18239444218
2022-07-14,1109.674072,1200.049438,1076.514648,1188.357910,1188.357910,16644265727
2022-07-15,1188.506104,1264.953247,1180.411987,1223.264038,1223.264038,17272156639
2022-07-16,1222.929321,1366.921021,1186.041138,1341.805420,1341.805420,18217101686
2022-07-17,1342.379395,1367.390137,1319.125244,1325.644287,1325.644287,15923658134
2022-07-18,1325.812866,1555.891235,1325.812866,1555.891235,1555.891235,27043659581
2022-07-19,1555.562012,1584.831909,1481.996338,1508.208984,1508.208984,27128186754
2022-07-20,1508.188477,1576.991821,1474.777832,1493.173096,1493.173096,22534809928
2022-07-21,1493.343750,1561.015869,1442.350098,1542.797363,1542.797363,19578690805
2022-07-22,1542.793335,1615.420898,1492.017090,1505.488647,1505.488647,18533194734
2022-07-23,1504.560547,1558.590210,1464.484253,1516.985352,1516.985352,14685996173
2022-07-24,1516.911987,1620.067871,1516.372070,1568.190918,1568.190918,16881068419
2022-07-25,1567.877808,1574.572266,1413.742554,1413.742554,1413.742554,20134428560
2022-07-26,1413.515259,1413.515259,1346.202393,1423.510254,1423.510254,18007116138
2022-07-27,1425.405884,1603.998047,1403.229736,1603.310059,1603.310059,22544589625
2022-07-28,1603.309326,1740.156738,1581.127441,1692.944824,1692.944824,26718115308
2022-07-29,1693.097656,1720.941284,1632.716187,1689.182861,1689.182861,22735065489
2022-07-30,1688.845459,1699.558105,1640.974854,1658.441040,1658.441040,15232290504
2022-07-31,1658.358276,1707.250244,1637.272217,1646.847778,1646.847778,13907944608
2022-08-01,1646.777466,1661.254028,1572.612671,1593.524414,1593.524414,15778750273
2022-08-02,1592.988525,1641.040527,1531.605469,1607.949951,1607.949951,20113420267
2022-08-03,1608.054199,1646.825195,1570.024536,1593.937378,1593.937378,16527643916
2022-08-04,1593.949341,1631.650391,1548.694336,1569.374146,1569.374146,14118109804
2022-08-05,1568.708618,1700.400146,1568.768433,1700.400146,1700.400146,18205440437
2022-08-06,1700.799194,1712.250000,1660.548462,1660.548462,1660.548462,11541683709
2022-08-07,1660.666138,1694.958862,1642.143677,1670.590942,1670.590942,10078583963
2022-08-08,1670.927856,1771.738892,1668.244873,1741.044434,1741.044434,16514448149
2022-08-09,1741.588867,1750.905640,1636.735474,1668.283325,1668.283325,16034699850
2022-08-10,1668.167114,1815.109497,1631.602173,1797.999634,1797.999634,22830075335
2022-08-11,1798.082764,1864.317261,1798.082764,1822.695557,1822.695557,23085681279
2022-08-12,1822.380615,1907.472900,1808.043945,1907.174194,1907.174194,16728929330
2022-08-13,1907.259521,1962.237915,1898.744263,1930.648071,1930.648071,15628650113
2022-08-14,1931.082520,1971.042480,1869.916138,1888.897217,1888.897217,13714926287
2022-08-15,1888.856689,1958.844604,1845.213257,1873.954712,1873.954712,20026408105
2022-08-16,1872.581909,1881.327515,1831.711670,1846.761353,1846.761353,15376321899
2022-08-17,1846.559692,1920.167847,1794.461426,1800.995483,1800.995483,19953921573
2022-08-18,1801.698853,1859.740967,1794.012207,1830.696899,1830.696899,14866892949
2022-08-19,1830.783569,1830.783569,1605.559082,1607.201538,1607.201538,25813432623
2022-08-20,1606.865967,1646.292358,1528.643433,1571.190918,1571.190918,18266999000
2022-08-21,1570.732544,1634.559814,1563.263062,1613.026245,1613.026245,15787631676
2022-08-22,1612.874756,1632.856323,1534.333252,1632.581543,1632.581543,18672318057
2022-08-23,1633.017822,1672.186646,1582.616455,1668.331909,1668.331909,18383329144
2022-08-24,1668.257080,1691.411621,1618.479858,1662.345215,1662.345215,16834464083
2022-08-25,1662.623413,1718.953003,1662.572144,1701.424316,1701.424316,14862185129
2022-08-26,1701.291504,1692.352783,1504.186279,1513.230469,1513.230469,26810226778
2022-08-27,1513.605957,1522.631470,1459.390503,1496.632813,1496.632813,18184472260
2022-08-28,1496.443970,1511.080322,1439.739990,1439.739990,1439.739990,12905977198
2022-08-29,1439.631470,1555.103394,1436.498901,1551.369385,1551.369385,17946542179
2022-08-30,1551.520752,1592.707031,1478.835571,1520.250244,1520.250244,21784361198
2022-08-31,1520.696777,1605.557983,1520.696777,1547.797974,1547.797974,20513659062
2022-09-01,1547.869263,1601.976929,1529.630249,1593.866577,1593.866577,16513950191
2022-09-02,1593.706909,1640.695435,1560.048584,1584.668091,1584.668091,17792098146
